Event	Type	Space-Below	Level-Placed	Sections	Name											
46	2	0	1264.2172	13	{[0046]	Metabologr	extraordinarius	0	*	LAD	(C++	92)	(tag:	not	assigned)	Metabolograptus extraordinarius variabilis
47	2	3.0548	1328.3998	12	{[0047]	Normalogra	angustus	0	*	LAD	(C++	94)	(tag:	not	assigned)	Normalograptus angustus
48	2	1.6861	1369.9041	7	{[0048]	Korenograp	lungmaensis	0	*	LAD	(C++	96)	(tag:	not	assigned)	Korenograptus lungmaensis
49	2	2.2379	1296.5338	16	{[0049]	Metabologr	avitus	0	*	LAD	(C++	98)	(tag:	not	assigned)	Metabolograptus avitus
50	2	0	1403.6911	2	{[0050]	Normalogra	gracilis	0	*	LAD	(C++	100)	(tag:	not	assigned)	Normalograptus gracilis
51	2	4.5927	1332.9925	12	{[0051]	Akidograpt	ascensus	0	*	LAD	(C++	102)	(tag:	not	assigned)	Akidograptus ascensus
52	2	0	1324.9982	12	{[0052]	Atavograpt	gracilis	0	*	LAD	(C++	104)	(tag:	not	assigned)	Atavograptus gracilis
53	2	5.2145	1375.1186	7	{[0053]	Cystograpt	vesiculosus	0	*	LAD	(C++	106)	(tag:	not	assigned)	Cystograptus vesiculosus
54	2	0.2774	1324.9982	12	{[0054]	Dimorphogr	malayensis	0	*	LAD	(C++	108)	(tag:	not	assigned)	Dimorphograptus malayensis
55	2	2.5125	1382.8932	6	{[0055]	Korenograp	laciniosus	0	*	LAD	(C++	110)	(tag:	not	assigned)	Korenograptus laciniosus
56	2	0.5912	1322.2044	13	{[0056]	Metabologr	bicaudatus	0	*	LAD	(C++	112)	(tag:	not	assigned)	Metabolograptus bicaudatus
57	2	31.336	1437.1913	1	{[0057]	Normalogra	premedius	0	*	LAD	(C++	114)	(tag:	not	assigned)	Normalograptus premedius
58	2	3.4124	1403.6911	2	{[0058]	Normalogra	rectangularis	0	*	LAD	(C++	116)	(tag:	not	assigned)	Normalograptus rectangularis
59	2	0	1405.8553	1	{[0059]	Normalogra	tortithecatus	0	*	LAD	(C++	118)	(tag:	not	assigned)	Normalograptus tortithecatus
60	2	14.6406	1368.218	8	{[0060]	Paraclimac	innotatus	0	*	LAD	(C++	120)	(tag:	not	assigned)	Paraclimacograptus innotatus
61	2	0	1336.2885	10	{[0061]	Parakidogr	acuminatus	0	*	LAD	(C++	122)	(tag:	not	assigned)	Parakidograptus acuminatus
62	2	0.3468	1325.345	12	{[0062]	Pseudoclim	(Metaclimacograptus)	0	*	LAD	(C++	124)	(tag:	not	assigned)	Pseudoclimacograptus (Metaclimacograptus) robustus
63	2	0	1324.9982	12	{[0063]	Orthograpt	lingulatus	0	*	LAD	(C++	126)	(tag:	not	assigned)	Orthograptus lingulatus
64	2	0	1405.8553	1	{[0064]	Atavograpt	atavus	0	*	LAD	(C++	128)	(tag:	not	assigned)	Atavograptus atavus
65	2	3.3296	1400.2787	2	{[0065]	Atavograpt	strachani	0	*	LAD	(C++	130)	(tag:	not	assigned)	Atavograptus strachani
66	2	0	1400.2787	2	{[0066]	Atavograpt	tenellus	0	*	LAD	(C++	132)	(tag:	not	assigned)	Atavograptus tenellus
67	2	0	1400.2787	2	{[0067]	Glyptograp	tangshanensis	0	*	LAD	(C++	134)	(tag:	not	assigned)	Glyptograptus tangshanensis
68	2	0	1405.8553	1	{[0068]	Lagarograp	acinaces	0	*	LAD	(C++	136)	(tag:	not	assigned)	Lagarograptus acinaces
69	2	0	1400.2787	2	{[0069]	Normalogra	lunata	0	*	LAD	(C++	138)	(tag:	not	assigned)	Normalograptus lunata
70	2	2.1642	1405.8553	2	{[0070]	Normalogra	minutus	0	*	LAD	(C++	140)	(tag:	not	assigned)	Normalograptus minutus
71	2	0	1405.8553	1	{[0071]	Glyptograp	tamariscus	0	*	LAD	(C++	142)	(tag:	not	assigned)	Glyptograptus tamariscus linearis
72	2	0	1405.8553	1	{[0072]	Monoclimac	lunata	0	*	LAD	(C++	144)	(tag:	not	assigned)	Monoclimacis lunata
73	2	2.3171	1205.1096	7	{[0073]	Pararetiog	uniformis	0	*	LAD	(C++	146)	(tag:	not	assigned)	Pararetiograptus uniformis
74	2	2.2305	1220.7541	8	{[0074]	Tangyagrap	grandis	0	*	LAD	(C++	148)	(tag:	not	assigned)	Tangyagraptus grandis
75	2	0.4391	1230.1578	9	{[0075]	Appendispi	supernus	0	*	LAD	(C++	150)	(tag:	not	assigned)	Appendispinograptus supernus sinicus
76	2	0	1221.4825	8	{[0076]	Dicellogra	planus	0	*	LAD	(C++	152)	(tag:	not	assigned)	Dicellograptus planus
77	2	0	1221.4825	8	{[0077]	Normalogra	acutus	0	*	LAD	(C++	154)	(tag:	not	assigned)	Normalograptus acutus
78	2	0	1254.9664	13	{[0078]	Normalogra	tatianae	0	*	LAD	(C++	156)	(tag:	not	assigned)	Normalograptus tatianae
79	2	4.7424	1259.7088	13	{[0079]	Rectograpt	obesus	0	*	LAD	(C++	158)	(tag:	not	assigned)	Rectograptus obesus
80	2	0	1396.9491	2	{[0080]	Dimorphogr	longicaudatus	0	*	LAD	(C++	160)	(tag:	not	assigned)	Dimorphograptus longicaudatus
81	2	0	1396.9491	2	{[0081]	Sudburigra	robustus	0	*	LAD	(C++	162)	(tag:	not	assigned)	Sudburigraptus robustus
82	2	3.6749	1185.5652	5	{[0082]	Dicellogra	turgidus	0	*	LAD	(C++	164)	(tag:	not	assigned)	Dicellograptus turgidus
83	2	0.465	1243.4231	10	{[0083]	Dicellogra	mirabilis	0	*	LAD	(C++	166)	(tag:	not	assigned)	Dicellograptus mirabilis
84	2	0	1236.0871	8	{[0084]	Paraorthog	longispinus	0	*	LAD	(C++	168)	(tag:	not	assigned)	Paraorthograptus longispinus
85	2	0	1369.9041	7	{[0085]	Normalogra	lubricus	0	*	LAD	(C++	170)	(tag:	not	assigned)	Normalograptus lubricus
86	2	3.9129	1341.9262	9	{[0086]	Normalogra	mirnyensis	0	*	LAD	(C++	172)	(tag:	not	assigned)	Normalograptus mirnyensis
87	2	2.3972	1293.6738	17	{[0087]	Sudburigra	angustifolius	0	*	LAD	(C++	174)	(tag:	not	assigned)	Sudburigraptus angustifolius
88	2	6.2202	1353.5775	8	{[0088]	Dimorphogr	confertus	0	*	LAD	(C++	176)	(tag:	not	assigned)	Dimorphograptus confertus nankingensis
89	2	1.885	1347.3573	8	{[0089]	Neodiplogr	parajanus	0	*	LAD	(C++	178)	(tag:	not	assigned)	Neodiplograptus parajanus
90	2	0	1391.5425	3	{[0090]	Agetograpt	secundus	0	*	LAD	(C++	180)	(tag:	not	assigned)	Agetograptus secundus
91	2	0	1391.5425	3	{[0091]	Normalogra	sinuatus	0	*	LAD	(C++	182)	(tag:	not	assigned)	Normalograptus sinuatus
92	2	1.3595	1311.3488	13	{[0092]	Korenograp	pseudotamariscus	0	*	LAD	(C++	184)	(tag:	not	assigned)	Korenograptus pseudotamariscus
93	2	2.455	1377.5736	6	{[0093]	Neodiplogr	modestus	0	*	LAD	(C++	186)	(tag:	not	assigned)	Neodiplograptus modestus
94	2	3.7186	1216.6636	8	{[0094]	Paraorthog	tenuis	0	*	LAD	(C++	188)	(tag:	not	assigned)	Paraorthograptus tenuis
95	2	1.3815	1246.4624	10	{[0095]	Climacogra	tubuliferus	0	*	LAD	(C++	190)	(tag:	not	assigned)	Climacograptus tubuliferus
96	2	2.9568	1275.4913	14	{[0096]	Normalogra	wangjiawanensis	0	*	LAD	(C++	192)	(tag:	not	assigned)	Normalograptus wangjiawanensis
97	2	2.0044	1304.764	15	{[0097]	Atavograpt	primitivus	0	*	LAD	(C++	194)	(tag:	not	assigned)	Atavograptus primitivus
98	2	0.279	1239.317	10	{[0098]	Paraorthog	uniformis	0	*	LAD	(C++	196)	(tag:	not	assigned)	Paraorthograptus uniformis
99	2	0	1281.2404	15	{[0099]	Normalogra	medius	0	*	LAD	(C++	198)	(tag:	not	assigned)	Normalograptus medius
100	2	1.3786	1281.2404	16	{[0100]	Neodiplogr	shanchongensis	0	*	LAD	(C++	200)	(tag:	not	assigned)	Neodiplograptus shanchongensis
101	2	0	1281.2404	15	{[0101]	Normalogra	subtilis	0	*	LAD	(C++	202)	(tag:	not	assigned)	Normalograptus subtilis
102	2	1.6788	1223.1613	8	{[0102]	Climacogra	hastatus	0	*	LAD	(C++	204)	(tag:	not	assigned)	Climacograptus hastatus vesicicaulis
103	2	0.1549	1315.2561	13	{[0103]	Neodiplogr	guantangyuanensis	0	*	LAD	(C++	206)	(tag:	not	assigned)	Neodiplograptus guantangyuanensis
104	2	2.3786	1279.3448	16	{[0104]	Paraclimac	jinyangensis	0	*	LAD	(C++	208)	(tag:	not	assigned)	Paraclimacograptus jinyangensis
105	2	3.4872	1042.2752	2	{[0105]	Pseudoclim	chiai	0	*	LAD	(C++	210)	(tag:	not	assigned)	Pseudoclimacograptus chiai
106	2	0.6743	1336.9629	10	{[0106]	Normalogra	jiangxiensis	0	*	LAD	(C++	212)	(tag:	not	assigned)	Normalograptus jiangxiensis
107	2	1.3387	1334.3311	11	{[0107]	Hirsutogra	sinitzini	0	*	LAD	(C++	214)	(tag:	not	assigned)	Hirsutograptus sinitzini
108	2	0.6075	1308.7602	14	{[0108]	Paramplexo	madernii	0	*	LAD	(C++	216)	(tag:	not	assigned)	Paramplexograptus madernii
109	2	0	1308.7602	14	{[0109]	Hirsutogra	angustifolius	0	*	LAD	(C++	218)	(tag:	not	assigned)	Hirsutograptus angustifolius
110	2	0	1259.7088	13	{[0110]	Metabologr	daedalus	0	*	LAD	(C++	220)	(tag:	not	assigned)	Metabolograptus daedalus
111	2	0	1391.5425	3	{[0111]	Normalogra	ajjeri	0	*	LAD	(C++	222)	(tag:	not	assigned)	Normalograptus ajjeri
112	2	0.2826	1264.7823	13	{[0112]	Neodiplogr	charis	0	*	LAD	(C++	224)	(tag:	not	assigned)	Neodiplograptus charis
113	2	0.2824	1264.4997	13	{[0113]	Metabologr	rhizinus	0	*	LAD	(C++	226)	(tag:	not	assigned)	Metabolograptus rhizinus
114	2	0.8765	1319.1092	13	{[0114]	Korenograp	jerini	0	*	LAD	(C++	228)	(tag:	not	assigned)	Korenograptus jerini
115	2	3.546	1345.4722	9	{[0115]	Metabologr	wangjiawanensis	0	*	LAD	(C++	230)	(tag:	not	assigned)	Metabolograptus wangjiawanensis
116	2	0.4647	1324.0854	13	{[0116]	Paramplexo	paucispinus	0	*	LAD	(C++	232)	(tag:	not	assigned)	Paramplexograptus paucispinus
117	2	8.6492	1391.5425	4	{[0117]	Paramplexo	wuningensis	0	*	LAD	(C++	234)	(tag:	not	assigned)	Paramplexograptus wuningensis
118	2	1.4164	1323.6208	13	{[0118]	Normalogra	anjiensis	0	*	LAD	(C++	236)	(tag:	not	assigned)	Normalograptus anjiensis
119	2	0.4039	1315.1012	13	{[0119]	Normalogra	targuii	0	*	LAD	(C++	238)	(tag:	not	assigned)	Normalograptus targuii
120	2	1.2392	1316.4953	13	{[0120]	Parakidogr	praematurus	0	*	LAD	(C++	240)	(tag:	not	assigned)	Parakidograptus praematurus
121	2	0.6354	1324.7208	12	{[0121]	Hirsutogra	tenuis	0	*	LAD	(C++	242)	(tag:	not	assigned)	Hirsutograptus tenuis
122	2	0.1003	1291.2766	17	{[0122]	Paramplexo	kiliani	0	*	LAD	(C++	244)	(tag:	not	assigned)	Paramplexograptus kiliani
123	2	0.1971	1311.5459	13	{[0123]	Hirsutogra	longus	0	*	LAD	(C++	246)	(tag:	not	assigned)	Hirsutograptus longus
124	2	0	1334.3311	11	{[0124]	Dictyonema	cucurbitinum	0	*	LAD	(C++	248)	(tag:	not	assigned)	Dictyonema cucurbitinum
125	2	0	1338.0133	9	{[0125]	Hirsutogra	comantis	0	*	LAD	(C++	250)	(tag:	not	assigned)	Hirsutograptus comantis
126	2	0.9293	1317.4246	13	{[0126]	Metabologr	nanjingensis	0	*	LAD	(C++	252)	(tag:	not	assigned)	Metabolograptus nanjingensis
127	2	0	1391.5425	3	{[0127]	Metabologr	guizhouensis	0	*	LAD	(C++	254)	(tag:	not	assigned)	Metabolograptus guizhouensis
128	2	0	1259.7088	13	{[0128]	Metabologr	persculptus	0	*	LAD	(C++	256)	(tag:	not	assigned)	Metabolograptus persculptus
129	2	0.5097	1309.9893	13	{[0129]	Hirsutogra	jideliensis	0	*	LAD	(C++	258)	(tag:	not	assigned)	Hirsutograptus jideliensis
130	2	0.3377	1308.1528	14	{[0130]	Normalogra	imperfectus	0	*	LAD	(C++	260)	(tag:	not	assigned)	Normalograptus imperfectus
131	2	0.7194	1309.4796	14	{[0131]	Hirsutogra	jinyangensis	0	*	LAD	(C++	262)	(tag:	not	assigned)	Hirsutograptus jinyangensis
132	2	1.01	1314.6973	13	{[0132]	Neodiplogr	anhuiensis	0	*	LAD	(C++	264)	(tag:	not	assigned)	Neodiplograptus anhuiensis
133	2	0	1315.2561	13	{[0133]	Hirsutogra	tuberculatus	0	*	LAD	(C++	266)	(tag:	not	assigned)	Hirsutograptus tuberculatus
134	2	0	1315.2561	13	{[0134]	Korenograp	zhui	0	*	LAD	(C++	268)	(tag:	not	assigned)	Korenograptus zhui
135	2	0.6196	1319.7287	13	{[0135]	Normalogra	trifilis	0	*	LAD	(C++	270)	(tag:	not	assigned)	Normalograptus trifilis
136	2	0	1324.7208	12	{[0136]	Akidograpt	cuneatus	0	*	LAD	(C++	272)	(tag:	not	assigned)	Akidograptus cuneatus
137	2	0	1338.0133	9	{[0137]	Hirsutogra	similaris	0	*	LAD	(C++	274)	(tag:	not	assigned)	Hirsutograptus similaris
138	2	1.9574	1336.2885	11	{[0138]	Cystograpt	ancestralis	0	*	LAD	(C++	276)	(tag:	not	assigned)	Cystograptus ancestralis
139	2	0	1307.815	14	{[0139]	Metabologr	parvulus	0	*	LAD	(C++	278)	(tag:	not	assigned)	Metabolograptus parvulus
140	2	0.6752	1307.815	14	{[0140]	Metabologr	rhizimus	0	*	LAD	(C++	280)	(tag:	not	assigned)	Metabolograptus rhizimus
141	2	0	1264.7823	13	{[0141]	Normalogra	minor	0	*	LAD	(C++	282)	(tag:	not	assigned)	Normalograptus minor
142	2	0	1308.1528	14	{[0142]	Akidograpt	giganteus	0	*	LAD	(C++	284)	(tag:	not	assigned)	Akidograptus giganteus
143	2	0.8081	1318.2326	13	{[0143]	Metaclimac	pictus	0	*	LAD	(C++	286)	(tag:	not	assigned)	Metaclimacograptus pictus
144	2	0	1315.1012	13	{[0144]	Hirsutogra	robustus	0	*	LAD	(C++	288)	(tag:	not	assigned)	Hirsutograptus robustus
145	2	0	1338.0133	9	{[0145]	Dimorphogr	confertus	0	*	LAD	(C++	290)	(tag:	not	assigned)	Dimorphograptus confertus
146	2	1.0505	1338.0133	10	{[0146]	Normalogra	pseudonormalis	0	*	LAD	(C++	292)	(tag:	not	assigned)	Normalograptus pseudonormalis
